latitude,longitude
48.0841,133.6927
48.2193,132.9776
48.6812,132.8325
47.2681,131.4497
47.2885,130.5798
46.583,134.3401
47.8135,130.9982
48.6997,132.9122
47.7538,134.1429
48.0607,131.764
47.814,130.4251
47.5795,131.693
47.5155,131.9689
47.683,130.5552
46.7512,132.7329
47.6005,132.6575
48.1129,133.8394
47.763,132.1869
47.8486,131.746
47.1469,132.4074
48.5892,135.6436
48.6926,133.7457
47.6531,134.9257
47.8479,135.5466
48.6162,134.0786
48.5294,134.7777
48.0909,134.084
47.8477,132.4665
47.8644,131.8475
47.0303,133.1967
48.554,134.924
47.3042,130.4102
46.5382,130.2129
48.6217,132.9297
48.2452,133.2223
48.6742,132.8305
47.8564,131.3726
47.6189,130.981
42.9823,130.4709
47.0879,131.5547
47.3113,131.7752
47.7326,132.1882
47.882,131.1372
47.0124,131.1622
44.8424,131.597
46.6168,131.5367
46.5183,129.9516
46.7443,130.2421
47.6672,130.5316
48.1026,131.7768
47.4481,134.5737
47.244,133.8026
47.4073,130.7193
46.9973,130.0057
47.8535,135.5861
47.198,131.4471
47.8269,132.4078
48.6651,134.7291
48.6188,133.6785
48.0786,132.3971
48.092,134.0927
44.0906,131.6066
47.9183,135.1953
47.9205,135.1887
48.1436,132.3013
47.3247,134.3131
48.5478,131.8192
48.6198,132.9609
48.0914,132.0739
42.9327,132.9663
47.6117,130.3844
45.9255,130.5369
47.1933,130.9961
46.6477,130.5155
46.012,131.2763
47.86,131.5503
47.2792,131.5735
48.6849,134.3826
47.4779,131.0541
47.8181,131.6616
47.5133,131.9824
47.9224,131.1157
47.1179,129.9897
47.8272,131.736
48.7447,133.8082
48.7905,130.4872
48.66,134.7338
47.1387,132.4044
48.6402,133.7222
48.4473,134.5611
47.8365,134.4187
46.9644,133.3203
47.1313,130.5687
47.6048,132.6327
47.8922,131.1335
47.91,130.4476
48.7334,133.7718
48.6885,133.7879
42.8653,132.8451
47.3619,130.446
48.094,134.7085
48.0905,133.7033
47.1543,132.3755
48.5982,134.0762
48.1709,133.1236
48.1428,132.1476
47.3909,130.7677
47.6043,130.5229
48.7961,133.7868
47.9204,131.1289
47.0283,131.8739
42.894,133.0189
47.9189,131.119
48.6141,130.3286
47.8425,131.737
47.8351,131.6996
47.1561,132.3979
47.9948,131.5429
48.72,133.8109
47.9783,131.3684
47.5631,133.7206
46.5824,131.2531
45.666,131.5175
47.8218,134.9298
48.4785,134.6597
48.6272,133.7581
48.5281,134.7952
48.6228,133.745
47.3463,131.9875
48.5218,131.8596
48.2402,133.2323
47.8359,131.3687
47.8511,131.5436
46.9737,130.3771
48.7688,133.801
47.0372,131.8771
46.3674,131.518
48.1056,133.927
48.7101,134.4157
48.4045,130.1265
48.1174,131.7907
48.5071,130.3026
48.1162,131.7849
48.56,134.6131
46.999,129.9912
46.6599,131.294
47.1357,133.2323
47.7065,134.349
48.3028,132.1104
47.898,132.0612
44.9256,133.039
44.8803,133.1366
48.599,132.8638
47.8491,131.4024
48.6465,134.2054
47.3339,131.0342
47.0416,133.1296
47.8015,131.9486
47.8396,131.5494
47.8083,130.9906
47.8827,134.4399
46.3431,131.5027
48.4283,130.1123
44.8543,131.6151
48.6608,133.771
47.9766,131.3635
48.7414,133.8051
47.8988,132.0564
46.6698,132.3336
48.0942,132.5339
47.4989,132.7605
46.9701,131.0099
46.4865,130.2724
47.5444,130.961
46.0221,130.7955
47.8845,132.3333
47.8107,131.0134
46.8882,131.1453
46.6907,131.3671
47.817,131.6685
47.7234,130.4682
47.7212,130.4546
48.669,134.7483
48.6074,130.3456
47.8624,135.5741
47.5871,134.6055
47.9102,131.5117
47.9293,130.4933
48.6148,134.1266
48.7525,133.9143
48.4794,133.0705
48.7439,133.8424
48.6264,130.3174
47.9853,133.9939
47.9848,132.5511
48.598,134.0705
48.6329,134.3864
47.6197,130.9751
47.0768,131.5665
46.4075,130.4788
44.0339,131.635
47.0315,134.3163
47.0853,132.197
47.835,132.3828
48.1389,133.9447
47.2216,133.5284
48.5152,130.3125
48.6294,133.8059
48.1027,131.7263
47.1718,132.4306
44.8525,131.5866
48.6813,133.7685
47.1295,130.5828
45.669,131.5335
47.1671,132.7527
47.9252,131.5386
47.9197,131.5079
48.0671,133.9139
48.2888,132.0882
47.8254,132.3075
48.6328,134.7541
47.9336,135.3118
48.431,131.9923
42.975,129.9756
47.8445,132.2509
48.5963,134.0552
48.5514,131.8524
48.1493,132.1545
48.6614,132.8776
48.6181,132.9353
42.921,133.0125
47.0692,131.2757
47.3147,131.7263
45.9245,130.5424
47.5125,131.0449
47.8669,132.0765
46.0224,130.7884
47.8391,130.8118
47.1873,132.4127
47.1726,132.4114
48.1089,131.784
48.1108,131.7288
43.7572,131.5356
48.6528,133.8243
47.685,135.07
47.3387,131.1911
48.6366,134.7248
48.7445,133.9459
48.4598,134.6795
47.9968,131.3536
47.9886,134.7756
47.8405,135.6413
47.9877,133.9801
47.3024,130.4235
44.9234,133.0523
43.0435,130.0132
42.9768,129.9636
48.689,133.3009
48.2304,133.1829
48.197,132.9909
47.8482,131.3611
48.1815,132.1879
47.4248,131.8047
44.0348,131.64
47.8566,131.5678
47.8808,134.4607
47.8732,131.1342
47.573,132.3568
47.7055,130.59
47.826,131.6991
47.215,133.5216
48.4797,134.6497
48.4688,134.66
47.7424,134.3658
48.2825,132.1149
47.8545,132.4849
48.316,131.9825
47.156,132.3919
48.2174,133.008
48.1475,132.1884
47.7874,131.7357
47.5903,132.3254
47.7276,131.0852
48.453,134.6399
47.9974,131.567
47.6775,132.3655
47.5778,130.675
47.5891,134.6186
47.6831,135.0568
48.626,134.2214
48.76,133.7709
48.059,133.9144
48.7432,133.8347
47.995,131.3713
48.4399,131.9952
47.9882,133.7457
44.7063,131.6896
46.3818,130.4712
47.0835,132.2153
47.8522,131.5769
47.809,131.0069
47.812,130.4383
47.1942,132.4432
46.482,131.2782
47.919,130.4568
48.6294,133.7326
48.7134,133.747
48.4683,133.044
48.742,133.8127
48.5916,130.2868
48.1524,132.3042
47.9503,131.8324
48.69,134.3571
48.5362,131.8049
48.0826,134.8497
48.6491,134.4207
48.2237,134.0692
48.1408,132.1819
47.8494,131.3565
47.0316,133.1274
47.1405,130.3968
46.7485,132.746
46.9323,130.3086
47.1606,130.003
47.7433,132.1675
47.7255,131.0718
48.4995,134.5524
48.0904,131.7819
48.5195,134.8271
48.6382,133.7355
48.4434,134.5507
48.4483,134.521
48.749,133.8333
48.4291,132.0056
47.9669,133.9435
47.3805,130.7573
46.4722,129.9402
48.6227,134.1919
47.5498,131.0096
47.8469,131.5527
47.8785,130.8586
46.649,131.2634
47.7846,131.7624
48.6339,133.8169
47.8397,131.7429
48.5621,134.5997
48.6166,134.1058
48.7432,133.8484
48.7062,133.7386
48.6499,135.3304
47.1557,132.3805
42.9183,132.6823
47.3384,131.0134
47.9794,131.9695
46.5898,134.3488
47.8101,131.0042
47.9643,131.8533
46.4892,131.2867
47.8686,130.7974
48.0933,131.7745
47.8428,131.6573
47.8245,131.7418
47.8214,131.8264
47.8103,131.7773
47.1518,132.441
47.5099,130.9876
47.5214,130.9953
48.4771,134.6513
48.7355,133.7854
48.6071,134.0723
48.4675,134.6781
47.8392,135.6465
48.1808,132.1792
47.3471,131.629
47.4357,131.1013
47.8622,130.4748
47.8603,130.4879
47.1901,132.4436
48.6163,130.3423
48.6404,133.8239
44.8553,131.5915
47.9855,131.5519
47.9154,130.4858
48.4703,134.6677
48.5989,134.1258
48.4671,133.0532
48.2509,132.018
46.7578,134.2322
48.4189,131.9928
47.8669,131.3032
47.602,132.3772
44.4556,131.4104
47.4352,131.1082
47.8451,131.5735
47.132,132.8067
47.1743,132.4622
47.815,131.6553
48.7545,133.8078
48.4776,134.6631
47.9781,133.6481
47.913,131.5271
48.6914,133.7439
48.6002,134.0778
44.0922,131.5921
43.3414,134.5947
48.0823,134.7024
48.546,131.8026
47.9067,131.0503
48.2305,133.0097
47.9175,132.2737
47.8411,130.7987
47.5884,132.3123
47.8442,131.6943
47.829,131.6933
48.1238,131.7744
48.6125,134.0789
47.8358,132.4685
47.9984,134.7732
48.097,134.0469
47.8036,131.1075
47.3802,130.7627
48.5823,134.4545
47.8709,130.7869
47.1965,132.4294
47.8689,130.8
48.4512,134.6255
47.7647,132.1467
48.0959,131.7385
48.7983,133.9003
47.9224,131.5233
48.7622,133.7845
48.1544,132.291
48.581,133.9089
48.5744,133.8992
47.9048,131.0761
48.2125,133.2843
48.4244,133.042
48.433,133.0355
47.61,130.401
46.3452,131.4895
48.4977,134.538
48.7636,133.8051
48.7094,134.4293
47.7485,131.6579
47.6757,132.3788
48.4454,134.5641
48.4503,134.5343
47.8291,132.4646
47.3063,134.3396
47.5007,132.7777
48.5496,131.8358
47.8954,132.1274
48.7636,133.8306
47.1793,132.4334
47.1882,132.4306
47.8237,131.8205
48.1159,131.7717
48.7219,133.7975
47.1646,132.7384
48.6351,133.7424
48.6056,134.1202
47.983,132.5338
48.6558,134.4135
46.3696,131.5047
47.1705,132.4362
47.8409,132.4627
48.3122,132.0007
48.6807,134.381
48.2352,133.2737
46.4823,130.1465
47.792,131.7656
47.1812,132.4464
47.6833,132.3876
47.9131,130.464
47.9856,131.9807
48.7162,134.3227
47.7213,130.4853
48.7698,133.8237
48.7672,133.8385
47.8413,131.7002
48.6696,133.774
44.7168,133.5694
47.5183,130.9792
48.6648,133.7536
47.3708,134.3066
48.0846,134.7089
47.9422,131.851
47.9405,131.8348
48.6632,132.846
48.5857,134.4719
47.1724,132.4492
48.518,134.8832
48.5861,133.8861
48.5316,131.8572
48.5415,131.8548
48.5397,131.8382
48.5379,131.8215
48.2747,133.3327
48.2846,133.3339
48.2828,133.349
48.2864,133.3189
48.2697,133.3765
48.2958,133.3214
48.2715,133.3615
48.6426,134.3987
48.6391,134.4162
48.6461,134.416
48.2274,133.2746
48.2203,133.2835
42.9117,133.0151
48.6072,134.2902
48.6087,134.2863
47.9813,131.9887
47.8502,131.5543
47.849,131.5482
47.9257,132.1278
47.9169,132.1307
48.7254,134.324
48.7662,133.8158
46.7531,132.7458
48.7948,133.8485
48.793,133.8345
47.8229,131.7842
47.8255,131.7784
47.1657,132.4395
47.1639,132.4053
47.1578,132.4321
48.4303,134.6346
48.6314,133.7193
47.9992,131.5533
47.5196,130.9836
48.6146,134.0924
48.6255,134.1027
48.6234,134.0892
48.6669,133.7672
48.5155,134.8976
