latitude,longitude
46.2487,116.9777
46.2936,116.9155
46.307,116.9083
46.2534,117.0196
46.2451,116.9867
46.2585,116.9796
46.2502,116.9465
46.2635,116.9389
46.257,117.0103
46.23,117.0637
46.1877,117.0577
46.2662,116.9051
46.1889,117.1092
46.1653,117.1184
46.164,117.0674
46.1819,117.1177
46.1805,117.0663
46.197,117.066
46.2137,117.1256
46.2812,117.2065
46.2719,117.1428
46.2938,117.2293
46.2919,117.2166
46.2933,117.1629
46.2914,117.1501
46.3021,117.1601
46.3072,117.1319
46.2041,117.1826
46.213,117.1799
46.2236,117.1899
46.2334,117.1946
46.2315,117.1819
46.224,117.131
46.2422,117.1919
46.2529,117.2019
46.251,117.1892
46.2636,117.212
46.2617,117.1992
46.2524,117.1355
46.2743,117.222
46.2724,117.2092
46.2649,117.1583
46.2631,117.1455
46.2556,117.0946
46.2831,117.2193
46.3054,117.1191
46.3179,117.1353
46.316,117.1226
46.3142,117.1098
46.3286,117.1453
46.3267,117.1326
46.3249,117.1198
46.3374,117.1426
46.3356,117.1298
46.3337,117.1171
46.3462,117.1399
46.3444,117.1271
45.2801,119.9418
45.9851,116.098
45.9966,116.1
45.987,116.0769
46.0132,116.0208
46.0114,116.0427
45.9999,116.0407
45.9982,116.0624
45.9964,116.0837
45.9947,116.1052
46.0156,116.0157
46.0137,116.0375
46.0022,116.0355
45.9984,116.0786
46.0003,116.0573
46.0232,116.3138
46.015,116.1248
46.013,116.1375
46.0072,116.1757
45.9926,116.211
45.9906,116.2238
45.9887,116.2365
45.9868,116.2492
45.9548,116.1536
45.9459,116.1509
45.944,116.1636
45.9078,115.9138
45.8959,115.93
45.8832,115.9526
45.8744,115.9499
45.8725,115.9626
45.8686,115.9879
45.8502,116.0485
45.8483,116.0611
46.0102,116.0863
45.9982,116.0164
46.0171,116.0691
45.8173,116.108
45.8586,116.063
45.8758,116.022
45.8796,115.931
45.9083,116.0403
45.8864,115.9135
45.9152,116.0231
45.9055,115.9668
45.9914,116.0337
45.989,116.0196
46.0078,116.0724
45.903,115.9526
45.8957,115.9102
45.8933,115.896
45.9123,115.9494
45.9025,115.8927
46.0061,116.176
46.0037,116.1622
45.9846,116.0511
45.9822,116.037
45.9798,116.0229
46.0129,116.1589
46.0105,116.1451
45.6285,115.8311
45.6648,115.8668
45.6716,115.8851
